ELM,JLON,JLAT,WLON,WLAT,DEP,ASPN
1,139.44975, 35.67326,139.44654, 35.67649,2984.8080,0
2,139.43411, 35.68602,139.43090, 35.68925,2984.8080,0
3,139.41847, 35.69878,139.41526, 35.70201,2984.8080,0
4,139.40283, 35.71154,139.39963, 35.71477,2984.8080,0
5,139.38719, 35.72431,139.38399, 35.72753,2984.8080,0
6,139.37155, 35.73707,139.36835, 35.74029,2984.8080,0
7,139.35591, 35.74983,139.35271, 35.75305,2984.8080,0
8,139.34027, 35.76259,139.33707, 35.76581,2984.8080,0
9,139.32464, 35.77535,139.32144, 35.77857,2984.8080,0
10,139.30900, 35.78812,139.30580, 35.79133,2984.8080,0
11,139.29336, 35.80088,139.29016, 35.80409,2984.8080,0
12,139.27772, 35.81364,139.27452, 35.81685,2984.8080,0
13,139.26209, 35.82640,139.25889, 35.82961,2984.8080,0
14,139.24645, 35.83917,139.24325, 35.84238,2984.8080,0
15,139.23081, 35.85193,139.22761, 35.85514,2984.8080,0
16,139.21516, 35.86470,139.21197, 35.86790,2984.8080,0
17,139.19953, 35.87746,139.19634, 35.88066,2984.8080,0
18,139.45246, 35.67547,139.44925, 35.67870,4954.4230,0
19,139.43683, 35.68824,139.43362, 35.69147,4954.4230,0
20,139.42119, 35.70100,139.41798, 35.70423,4954.4230,0
21,139.40554, 35.71376,139.40234, 35.71699,4954.4230,0
22,139.38990, 35.72653,139.38670, 35.72975,4954.4230,0
23,139.37427, 35.73929,139.37107, 35.74251,4954.4230,0
24,139.35863, 35.75205,139.35543, 35.75527,4954.4230,0
25,139.34299, 35.76481,139.33979, 35.76803,4954.4230,0
26,139.32735, 35.77757,139.32415, 35.78079,4954.4230,0
27,139.31171, 35.79034,139.30851, 35.79355,4954.4230,0
28,139.29608, 35.80310,139.29288, 35.80631,4954.4230,0
29,139.28044, 35.81586,139.27724, 35.81907,4954.4230,0
30,139.26480, 35.82862,139.26160, 35.83183,4954.4230,0
31,139.24916, 35.84138,139.24596, 35.84459,4954.4230,0
32,139.23353, 35.85414,139.23033, 35.85735,4954.4230,0
33,139.21788, 35.86691,139.21469, 35.87011,4954.4230,0
34,139.20224, 35.87967,139.19905, 35.88287,4954.4230,0
35,139.45518, 35.67769,139.45197, 35.68092,6924.0390,0
36,139.43954, 35.69045,139.43633, 35.69368,6924.0390,0
37,139.42390, 35.70321,139.42069, 35.70644,6924.0390,1
38,139.40826, 35.71597,139.40506, 35.71920,6924.0390,1
39,139.39262, 35.72874,139.38942, 35.73196,6924.0390,1
40,139.37698, 35.74150,139.37378, 35.74472,6924.0390,1
41,139.36134, 35.75426,139.35814, 35.75748,6924.0390,1
42,139.34571, 35.76702,139.34251, 35.77024,6924.0390,1
43,139.33007, 35.77979,139.32687, 35.78301,6924.0390,0
44,139.31443, 35.79256,139.31123, 35.79577,6924.0390,0
45,139.29879, 35.80532,139.29559, 35.80853,6924.0390,0
46,139.28316, 35.81808,139.27996, 35.82129,6924.0390,0
47,139.26752, 35.83084,139.26432, 35.83405,6924.0390,0
48,139.25188, 35.84360,139.24868, 35.84681,6924.0390,0
49,139.23624, 35.85637,139.23304, 35.85957,6924.0390,0
50,139.22060, 35.86913,139.21740, 35.87233,6924.0390,0
51,139.20496, 35.88189,139.20177, 35.88509,6924.0390,0
52,139.45790, 35.67991,139.45469, 35.68314,8893.6540,0
53,139.44226, 35.69267,139.43905, 35.69590,8893.6540,0
54,139.42662, 35.70543,139.42341, 35.70866,8893.6540,1
55,139.41098, 35.71819,139.40777, 35.72142,8893.6540,1
56,139.39533, 35.73096,139.39213, 35.73418,8893.6540,1
57,139.37970, 35.74372,139.37650, 35.74694,8893.6540,1
58,139.36406, 35.75648,139.36086, 35.75970,8893.6540,1
59,139.34842, 35.76924,139.34522, 35.77246,8893.6540,1
60,139.33278, 35.78200,139.32958, 35.78522,8893.6540,0
61,139.31714, 35.79477,139.31394, 35.79798,8893.6540,0
62,139.30151, 35.80753,139.29831, 35.81074,8893.6540,0
63,139.28587, 35.82029,139.28267, 35.82350,8893.6540,2
64,139.27023, 35.83305,139.26703, 35.83626,8893.6540,2
65,139.25459, 35.84581,139.25139, 35.84902,8893.6540,2
66,139.23896, 35.85858,139.23576, 35.86178,8893.6540,2
67,139.22332, 35.87134,139.22012, 35.87454,8893.6540,0
68,139.20767, 35.88410,139.20448, 35.88730,8893.6540,0
69,139.46061, 35.68212,139.45740, 35.68535,10863.2700,0
70,139.44497, 35.69488,139.44176, 35.69811,10863.2700,0
71,139.42934, 35.70764,139.42613, 35.71087,10863.2700,1
72,139.41370, 35.72040,139.41049, 35.72363,10863.2700,1
73,139.39805, 35.73317,139.39485, 35.73639,10863.2700,1
74,139.38241, 35.74594,139.37921, 35.74916,10863.2700,1
75,139.36677, 35.75870,139.36357, 35.76192,10863.2700,1
76,139.35114, 35.77146,139.34794, 35.77468,10863.2700,1
77,139.33550, 35.78422,139.33230, 35.78744,10863.2700,0
78,139.31986, 35.79699,139.31666, 35.80020,10863.2700,0
79,139.30422, 35.80975,139.30102, 35.81296,10863.2700,0
80,139.28858, 35.82251,139.28538, 35.82572,10863.2700,2
81,139.27295, 35.83527,139.26975, 35.83848,10863.2700,2
82,139.25731, 35.84803,139.25411, 35.85124,10863.2700,2
83,139.24167, 35.86080,139.23847, 35.86400,10863.2700,2
84,139.22603, 35.87356,139.22283, 35.87676,10863.2700,0
85,139.21039, 35.88632,139.20720, 35.88952,10863.2700,0
86,139.46333, 35.68434,139.46012, 35.68757,12832.8850,0
87,139.44769, 35.69710,139.44448, 35.70033,12832.8850,0
88,139.43205, 35.70986,139.42884, 35.71309,12832.8850,1
89,139.41641, 35.72263,139.41320, 35.72585,12832.8850,1
90,139.40077, 35.73539,139.39756, 35.73861,12832.8850,1
91,139.38513, 35.74815,139.38193, 35.75137,12832.8850,1
92,139.36949, 35.76091,139.36629, 35.76413,12832.8850,1
93,139.35385, 35.77367,139.35065, 35.77689,12832.8850,1
94,139.33821, 35.78643,139.33501, 35.78965,12832.8850,0
95,139.32258, 35.79920,139.31938, 35.80241,12832.8850,0
96,139.30694, 35.81196,139.30374, 35.81517,12832.8850,0
97,139.29130, 35.82472,139.28810, 35.82793,12832.8850,2
98,139.27566, 35.83748,139.27246, 35.84069,12832.8850,2
99,139.26002, 35.85024,139.25682, 35.85345,12832.8850,2
100,139.24439, 35.86302,139.24119, 35.86622,12832.8850,2
101,139.22875, 35.87578,139.22555, 35.87898,12832.8850,0
102,139.21311, 35.88854,139.20991, 35.89174,12832.8850,0
103,139.46604, 35.68655,139.46283, 35.68978,14802.5010,0
104,139.45040, 35.69931,139.44719, 35.70254,14802.5010,0
105,139.43477, 35.71208,139.43156, 35.71531,14802.5010,0
106,139.41913, 35.72485,139.41592, 35.72807,14802.5010,0
107,139.40349, 35.73761,139.40028, 35.74083,14802.5010,0
108,139.38784, 35.75037,139.38464, 35.75359,14802.5010,0
109,139.37220, 35.76313,139.36900, 35.76635,14802.5010,0
110,139.35657, 35.77589,139.35337, 35.77911,14802.5010,0
111,139.34093, 35.78865,139.33773, 35.79187,14802.5010,0
112,139.32529, 35.80142,139.32209, 35.80463,14802.5010,0
113,139.30965, 35.81418,139.30645, 35.81739,14802.5010,0
114,139.29402, 35.82694,139.29082, 35.83015,14802.5010,0
115,139.27838, 35.83970,139.27518, 35.84291,14802.5010,0
116,139.26274, 35.85246,139.25954, 35.85567,14802.5010,0
117,139.24710, 35.86523,139.24390, 35.86843,14802.5010,0
118,139.23146, 35.87799,139.22826, 35.88119,14802.5010,0
119,139.21583, 35.89075,139.21263, 35.89395,14802.5010,0
120,139.46876, 35.68877,139.46555, 35.69200,16772.1160,0
121,139.45312, 35.70153,139.44991, 35.70476,16772.1160,0
122,139.43748, 35.71429,139.43427, 35.71752,16772.1160,0
123,139.42184, 35.72706,139.41863, 35.73028,16772.1160,0
124,139.40621, 35.73982,139.40300, 35.74304,16772.1160,0
125,139.39056, 35.75258,139.38736, 35.75580,16772.1160,0
126,139.37492, 35.76534,139.37172, 35.76856,16772.1160,0
127,139.35928, 35.77810,139.35608, 35.78132,16772.1160,0
128,139.34364, 35.79086,139.34044, 35.79408,16772.1160,0
129,139.32801, 35.80364,139.32481, 35.80685,16772.1160,0
130,139.31237, 35.81640,139.30917, 35.81961,16772.1160,0
131,139.29673, 35.82916,139.29353, 35.83237,16772.1160,0
132,139.28109, 35.84192,139.27789, 35.84513,16772.1160,0
133,139.26546, 35.85468,139.26226, 35.85789,16772.1160,0
134,139.24982, 35.86745,139.24662, 35.87065,16772.1160,0
135,139.23418, 35.88021,139.23098, 35.88341,16772.1160,0
136,139.21854, 35.89297,139.21534, 35.89617,16772.1160,0
137,139.47147, 35.69098,139.46826, 35.69421,18741.7320,0
138,139.45584, 35.70375,139.45263, 35.70698,18741.7320,0
139,139.44020, 35.71651,139.43699, 35.71974,18741.7320,0
140,139.42456, 35.72928,139.42135, 35.73250,18741.7320,0
141,139.40892, 35.74204,139.40571, 35.74526,18741.7320,0
142,139.39328, 35.75480,139.39007, 35.75802,18741.7320,0
143,139.37764, 35.76756,139.37444, 35.77078,18741.7320,0
144,139.36200, 35.78032,139.35880, 35.78354,18741.7320,0
145,139.34636, 35.79308,139.34316, 35.79630,18741.7320,0
146,139.33072, 35.80585,139.32752, 35.80906,18741.7320,0
147,139.31508, 35.81861,139.31188, 35.82182,18741.7320,0
148,139.29945, 35.83137,139.29625, 35.83458,18741.7320,0
149,139.28381, 35.84413,139.28061, 35.84734,18741.7320,0
150,139.26817, 35.85689,139.26497, 35.86010,18741.7320,0
151,139.25253, 35.86966,139.24933, 35.87286,18741.7320,0
152,139.23690, 35.88242,139.23370, 35.88562,18741.7320,0
153,139.22126, 35.89518,139.21806, 35.89838,18741.7320,0
